Trials with delta >= 0.1, sorted by descending absolute time delta
Win rate in t1.txt: 39.78%
Win rate in t2.txt: 39.78%
Format: seed, won, time1, time2, delta

{'seed': 7413943496952697345, 'won': True, 'time1': 6.2047669887542725, 'time2': 10.418766975402832, 'delta': 4.21399998664856}
{'seed': 3172003722296081943, 'won': False, 'time1': 6.311882734298706, 'time2': 10.359960079193115, 'delta': 4.048077344894409}
{'seed': 6291999564235847414, 'won': True, 'time1': 5.510396718978882, 'time2': 9.143691062927246, 'delta': 3.6332943439483643}
{'seed': 4191682466821032394, 'won': True, 'time1': 8.283771991729736, 'time2': 11.336628913879395, 'delta': 3.052856922149658}
{'seed': 7540404544730981524, 'won': False, 'time1': 5.829635858535767, 'time2': 8.629410028457642, 'delta': 2.799774169921875}
{'seed': 8531090852945912843, 'won': True, 'time1': 11.444871187210083, 'time2': 13.521873712539673, 'delta': 2.07700252532959}
{'seed': 2822150546954653105, 'won': False, 'time1': 1.5316250324249268, 'time2': 3.562582015991211, 'delta': 2.030956983566284}
{'seed': 5083016970173633423, 'won': False, 'time1': 4.89974308013916, 'time2': 6.7870097160339355, 'delta': 1.8872666358947754}
{'seed': 6474516805080705153, 'won': False, 'time1': 29.31309175491333, 'time2': 27.517802000045776, 'delta': 1.7952897548675537}
{'seed': 8210267809884384169, 'won': True, 'time1': 2.824826717376709, 'time2': 4.597407102584839, 'delta': 1.7725803852081299}
{'seed': 7832366673802252170, 'won': True, 'time1': 0.8364098072052002, 'time2': 2.3106229305267334, 'delta': 1.4742131233215332}
{'seed': 5558571020759820613, 'won': True, 'time1': 1.4279990196228027, 'time2': 2.8835031986236572, 'delta': 1.4555041790008545}
{'seed': 159154323016799194, 'won': True, 'time1': 4.295371055603027, 'time2': 5.664831876754761, 'delta': 1.3694608211517334}
{'seed': 4768179122256074605, 'won': False, 'time1': 0.636962890625, 'time2': 1.9602770805358887, 'delta': 1.3233141899108887}
{'seed': 1604057153096974533, 'won': True, 'time1': 1.0072290897369385, 'time2': 2.327699899673462, 'delta': 1.3204708099365234}
